location,Year,Lifeexpectancy,Alcohol,percentageexpenditure,Measles,BMI,HIV/AIDS,Schooling,incomeGroup
Afghanistan,2015,65.0,0.01,71.27962362,1154,19.1,0.1,10.1,Low income
Afghanistan,2014,59.9,0.01,73.52358168,492,18.6,0.1,10.0,Low income
Afghanistan,2013,59.9,0.01,73.21924272,430,18.1,0.1,9.9,Low income
Afghanistan,2012,59.5,0.01,78.18421529999998,2787,17.6,0.1,9.8,Low income
Afghanistan,2011,59.2,0.01,7.097108703,3013,17.2,0.1,9.5,Low income
Afghanistan,2010,58.8,0.01,79.67936736,1989,16.7,0.1,9.2,Low income
Afghanistan,2009,58.6,0.01,56.76221682,2861,16.2,0.1,8.9,Low income
Afghanistan,2008,58.1,0.03,25.87392536,1599,15.7,0.1,8.7,Low income
Afghanistan,2007,57.5,0.02,10.91015598,1141,15.2,0.1,8.4,Low income
Afghanistan,2006,57.3,0.03,17.17151751,1990,14.7,0.1,8.1,Low income
Afghanistan,2005,57.3,0.02,1.388647732,1296,14.2,0.1,7.9,Low income
Afghanistan,2004,57.0,0.02,15.29606643,466,13.8,0.1,6.8,Low income
Afghanistan,2003,56.7,0.01,11.08905273,798,13.4,0.1,6.5,Low income
Afghanistan,2002,56.2,0.01,16.88735091,2486,13.0,0.1,6.2,Low income
Afghanistan,2001,55.3,0.01,10.5747282,8762,12.6,0.1,5.9,Low income
Afghanistan,2000,54.8,0.01,10.42496,6532,12.2,0.1,5.5,Low income
Albania,2015,77.8,4.6,364.9752287,0,58.0,0.1,14.2,Upper middle income
Albania,2014,77.5,4.51,428.7490668,0,57.2,0.1,14.2,Upper middle income
Albania,2013,77.2,4.76,430.8769785,0,56.5,0.1,14.2,Upper middle income
Albania,2012,76.9,5.14,412.4433563,9,55.8,0.1,14.2,Upper middle income
Albania,2011,76.6,5.37,437.0621,28,55.1,0.1,13.3,Upper middle income
Albania,2010,76.2,5.28,41.82275719,10,54.3,0.1,12.5,Upper middle income
Albania,2009,76.1,5.79,348.0559517,0,53.5,0.1,12.2,Upper middle income
Albania,2008,75.3,5.61,36.62206845,0,52.6,0.1,12.0,Upper middle income
Albania,2007,75.9,5.58,32.24655228,22,51.7,0.1,11.6,Upper middle income
